name,id,parent_id,description,link_download,incolla_valori
2003_V.2.1.tif,31,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2003_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2003_V.2.1.tif
2004_V.2.1.tif,32,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2004_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2004_V.2.1.tif
2005_V.2.1.tif,33,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2005_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2005_V.2.1.tif
2006_V.2.1.tif,34,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2006_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2006_V.2.1.tif
2007_V.2.1.tif,35,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2007_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2007_V.2.1.tif
2008_V.2.1.tif,36,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2008_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2008_V.2.1.tif
2009_V.2.1.tif,37,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2009_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2009_V.2.1.tif
2010_V.2.1.tif,38,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2010_V.2.1.tif
2011_V.2.1.tif,39,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2011_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2011_V.2.1.tif
2012_V.2.1.tif,40,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2012_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2012_V.2.1.tif
2013_V.2.1.tif,41,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2013_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2013_V.2.1.tif
2014_V.2.1.tif,42,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2014_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2014_V.2.1.tif
2015_V.2.1.tif,43,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2015_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2015_V.2.1.tif
2016_V.2.1.tif,44,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2016_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2016_V.2.1.tif
2017_V.2.1.tif,45,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2017_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2017_V.2.1.tif
2018_V.2.1.tif,46,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2018_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2018_V.2.1.tif
1981-2010,47,4,,,
2011-2040,48,4,,,
2041-2070,49,4,,,
2071-2100,50,4,,,
bio,51,47,,,
clt,52,47,,,
cmi,53,47,,,
hurs,54,47,,,
ncdf,55,47,,,
pet,56,47,,,
pr,57,47,,,
rsds,58,47,,,
sfcWind,59,47,,,
tas,60,47,,,
tasmax,61,47,,,
tasmin,62,47,,,
vpd,63,47,,,
ai_1981-2010_V.2.1.tif,64,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_ai_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_ai_1981-2010_V.2.1.tif
bio1_1981-2010_V.2.1.tif,65,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio1_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio1_1981-2010_V.2.1.tif
bio2_1981-2010_V.2.1.tif,66,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio2_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio2_1981-2010_V.2.1.tif
bio3_1981-2010_V.2.1.tif,67,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio3_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio3_1981-2010_V.2.1.tif
bio4_1981-2010_V.2.1.tif,68,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio4_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio4_1981-2010_V.2.1.tif
bio5_1981-2010_V.2.1.tif,69,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio5_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio5_1981-2010_V.2.1.tif
bio6_1981-2010_V.2.1.tif,70,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio6_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio6_1981-2010_V.2.1.tif
bio7_1981-2010_V.2.1.tif,71,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio7_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio7_1981-2010_V.2.1.tif
bio8_1981-2010_V.2.1.tif,72,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio8_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio8_1981-2010_V.2.1.tif
bio9_1981-2010_V.2.1.tif,73,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio9_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio9_1981-2010_V.2.1.tif
bio10_1981-2010_V.2.1.tif,74,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio10_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio10_1981-2010_V.2.1.tif
bio11_1981-2010_V.2.1.tif,75,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio11_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio11_1981-2010_V.2.1.tif
bio12_1981-2010_V.2.1.tif,76,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio12_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio12_1981-2010_V.2.1.tif
bio13_1981-2010_V.2.1.tif,77,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio13_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio13_1981-2010_V.2.1.tif
bio14_1981-2010_V.2.1.tif,78,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio14_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio14_1981-2010_V.2.1.tif
bio15_1981-2010_V.2.1.tif,79,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio15_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio15_1981-2010_V.2.1.tif
bio16_1981-2010_V.2.1.tif,80,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio16_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio16_1981-2010_V.2.1.tif
bio17_1981-2010_V.2.1.tif,81,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio17_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio17_1981-2010_V.2.1.tif
bio18_1981-2010_V.2.1.tif,82,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio18_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio18_1981-2010_V.2.1.tif
bio19_1981-2010_V.2.1.tif,83,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio19_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio19_1981-2010_V.2.1.tif
clt_max_1981-2010_V.2.1.tif,84,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_clt_max_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_clt_max_1981-2010_V.2.1.tif
clt_mean_1981-2010_V.2.1.tif,85,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_clt_mean_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_clt_mean_1981-2010_V.2.1.tif
clt_min_1981-2010_V.2.1.tif,86,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_clt_min_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_clt_min_1981-2010_V.2.1.tif
clt_range_1981-2010_V.2.1.tif,87,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_clt_range_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_clt_range_1981-2010_V.2.1.tif
